Sample in Buffer,Sample in Window,TRIGGER,data_out_probe_in[7:0],cnt_out_addr_in[7:0]
737,737,0,d0,64
738,738,0,c3,69
739,739,0,b5,6e
740,740,0,a6,73
741,741,0,97,78
742,742,0,87,7d
743,743,0,78,82
744,744,0,68,87
745,745,0,59,8c
746,746,0,4a,91
747,747,0,3c,96
748,748,0,2f,9b
749,749,0,24,a0
750,750,0,19,a5
751,751,0,11,aa
752,752,0,0a,af
753,753,0,04,b4
754,754,0,01,b9
755,755,0,00,be
756,756,0,00,c3
757,757,0,02,c8
758,758,0,07,cd
759,759,0,0d,d2
760,760,0,15,d7
761,761,0,1e,dc
762,762,0,29,e1
763,763,0,36,e6
764,764,0,43,eb
765,765,0,51,f0
766,766,0,60,f5
767,767,0,70,fa
768,768,0,7f,ff
769,769,0,8c,04
770,770,0,9c,09
771,771,0,ab,0e
772,772,0,b9,13
773,773,0,c7,18
774,774,0,d3,1d
775,775,0,df,22
776,776,0,e8,27
777,777,0,f1,2c
778,778,0,f7,31
779,779,0,fc,36
780,780,0,ff,3b
781,781,0,ff,40
782,782,0,fe,45
783,783,0,fb,4a
784,784,0,f7,4f
785,785,0,f0,54
786,786,0,e8,59
787,787,0,de,5e
788,788,0,d2,63
789,789,0,c6,68
790,790,0,b8,6d
791,791,0,a9,72
792,792,0,9a,77
793,793,0,8b,7c
794,794,0,7b,81
795,795,0,6b,86
796,796,0,5c,8b
797,797,0,4d,90
798,798,0,3f,95
799,799,0,32,9a
800,800,0,26,9f
801,801,0,1b,a4
802,802,0,12,a9
803,803,0,0b,ae
804,804,0,05,b3
805,805,0,02,b8
806,806,0,00,bd
807,807,0,00,c2
808,808,0,02,c7
809,809,0,06,cc
810,810,0,0c,d1
811,811,0,13,d6
812,812,0,1c,db
813,813,0,27,e0
814,814,0,33,e5
815,815,0,40,ea
816,816,0,4e,ef
817,817,0,5d,f4
818,818,0,6d,f9
819,819,0,7c,fe
820,820,0,89,03
821,821,0,99,08
822,822,0,a8,0d
823,823,0,b6,12
824,824,0,c4,17
825,825,0,d1,1c
826,826,0,dc,21
827,827,0,e7,26
828,828,0,ef,2b
829,829,0,f6,30
830,830,0,fb,35
831,831,0,fe,3a
832,832,0,ff,3f
